seed,method,error_m
11,fl_static_no_densification,0.009744119830429554
11,fl_static_no_densification,0.519874632358551
11,fl_static_no_densification,0.5702112317085266
11,fl_static_no_densification,0.6159380078315735
11,fl_static_no_densification,0.6725149750709534
11,fl_static_no_densification,0.143913134932518
11,fl_static_no_densification,0.0992433950304985
11,fl_static_no_densification,0.08818885684013367
11,fl_static_no_densification,0.19615322351455688
11,fl_static_no_densification,0.15935666859149933
11,fl_static_no_densification,0.20260834693908691
11,fl_static_no_densification,0.09884212166070938
11,fl_static_no_densification,0.10695428401231766
11,fl_static_no_densification,0.009692282415926456
11,fl_static_no_densification,0.08080077916383743
11,fl_static_no_densification,0.05682690814137459
11,fl_static_no_densification,0.1638752520084381
11,fl_static_no_densification,0.07245258241891861
11,fl_static_no_densification,0.11823596060276031
11,fl_static_no_densification,0.059776775538921356
11,fl_static_no_densification,0.15100571513175964
11,fl_static_no_densification,0.06433915346860886
11,fl_static_no_densification,0.05280419811606407
11,fl_static_no_densification,0.06027841567993164
11,fl_static_no_densification,0.06459035724401474
11,fl_static_no_densification,0.0512070506811142
11,fl_static_no_densification,0.009017353877425194
11,fl_static_no_densification,0.09648796916007996
11,fl_static_no_densification,0.0024757981300354004
11,fl_static_no_densification,0.06746482104063034
11,fl_static_no_densification,0.30720338225364685
11,fl_static_no_densification,0.027342939749360085
11,fl_static_no_densification,0.19150885939598083
11,fl_static_no_densification,0.13028301298618317
11,fl_static_no_densification,0.11049733310937881
11,fl_static_no_densification,0.1369446963071823
11,fl_static_no_densification,0.06138897314667702
11,fl_static_no_densification,0.03400517627596855
11,fl_static_no_densification,0.04600924625992775
11,fl_static_no_densification,0.0545489564538002
11,fl_static_no_densification,0.1508112996816635
11,fl_static_no_densification,0.11756934970617294
11,fl_static_no_densification,0.05648944526910782
11,fl_static_no_densification,0.12067791819572449
11,fl_static_no_densification,0.02034172974526882
11,fl_static_no_densification,0.031356971710920334
11,fl_static_no_densification,0.20661406219005585
11,fl_static_no_densification,0.05235596001148224
11,fl_static_no_densification,0.08603548258543015
11,fl_static_no_densification,0.25231337547302246
11,fl_static_no_densification,0.15884557366371155
11,fl_static_no_densification,0.885703980922699
11,fl_static_no_densification,0.9867760539054871
11,fl_static_no_densification,1.0860257148742676
11,fl_static_no_densification,1.1921201944351196
11,fl_static_no_densification,0.17302308976650238
11,fl_static_no_densification,0.06304942816495895
11,fl_static_no_densification,0.09212341159582138
11,fl_static_no_densification,0.15963295102119446
11,fl_static_no_densification,0.08832374215126038
11,fl_static_no_densification,0.127422496676445
11,fl_static_no_densification,0.09273681789636612
11,fl_static_no_densification,0.03287129104137421
11,fl_static_no_densification,0.07932408899068832
11,fl_static_no_densification,0.017160974442958832
11,fl_static_no_densification,0.02484053559601307
11,fl_static_no_densification,0.05224810540676117
11,fl_static_no_densification,0.19729380309581757
11,fl_static_no_densification,0.07086937129497528
11,fl_static_no_densification,0.04245186969637871
11,fl_static_no_densification,0.08473967015743256
11,fl_static_no_densification,0.08809062838554382
11,fl_static_no_densification,0.06811700761318207
11,fl_static_no_densification,0.07544201612472534
11,fl_static_no_densification,0.16750672459602356
11,fl_static_no_densification,0.07760830968618393
11,fl_static_no_densification,0.18067559599876404
11,fl_static_no_densification,0.06456213444471359
