seed,snr_db,aoa_std_deg,method,label,mae_m,rmse_m,p90_m,p95_m
37,10,6.477289161443913,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.21122847,0.26093832,0.40848356,0.4929609
37,15,4.370456435499681,fl_static_no_densification,Federated static DNN without temporal densification,0.20428216,0.45565102,0.28367382,0.38240474
37,15,4.370456435499681,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),0.98469186,1.1313299,1.6419492,1.8692844
37,15,4.370456435499681,adr_tcn_central,ADR TCN-only (centralized),0.14242503,0.17631224,0.27307767,0.33762994
37,15,4.370456435499681,adr_lstm_central,ADR LSTM-only (centralized),0.14148557,0.17471401,0.26963252,0.32717317
37,15,4.370456435499681,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.14071439,0.17337301,0.26848462,0.32804528
37,15,4.370456435499681,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.14785299,0.1920514,0.27862617,0.34736103
37,20,3.0000000000000004,fl_static_no_densification,Federated static DNN without temporal densification,0.16378391,0.44091037,0.19379736,0.26529798
37,20,3.0000000000000004,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),0.91753876,1.0583905,1.5346211,1.7654866
37,20,3.0000000000000004,adr_tcn_central,ADR TCN-only (centralized),0.10181356,0.1333501,0.19010505,0.24118432
37,20,3.0000000000000004,adr_lstm_central,ADR LSTM-only (centralized),0.10092953,0.13144103,0.18978244,0.23676357
37,20,3.0000000000000004,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.10015602,0.12964205,0.18927176,0.23427649
37,20,3.0000000000000004,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.10736175,0.15381159,0.19259892,0.25204447
37,25,2.1297271778393787,fl_static_no_densification,Federated static DNN without temporal densification,0.13798894,0.43422946,0.13823658,0.18884096
37,25,2.1297271778393787,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),0.8909392,1.0285767,1.4881762,1.7156738
37,25,2.1297271778393787,adr_tcn_central,ADR TCN-only (centralized),0.07596471,0.10908814,0.13561325,0.1732688
37,25,2.1297271778393787,adr_lstm_central,ADR LSTM-only (centralized),0.07510287,0.10683838,0.13561325,0.17162785
37,25,2.1297271778393787,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.07434079,0.10464174,0.13497838,0.17049773
37,25,2.1297271778393787,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.08156661,0.13343228,0.13734621,0.18109965
37,30,1.6008373651881906,fl_static_no_densification,Federated static DNN without temporal densification,0.12232104,0.43125266,0.104396164,0.13827333
37,30,1.6008373651881906,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),0.88158137,1.0178977,1.4706612,1.7053841
37,30,1.6008373651881906,adr_tcn_central,ADR TCN-only (centralized),0.06027248,0.09649459,0.10328029,0.13296178
37,30,1.6008373651881906,adr_lstm_central,ADR LSTM-only (centralized),0.05941621,0.093970455,0.10328029,0.13198984
37,30,1.6008373651881906,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.058665335,0.0914951,0.102204286,0.12922771
37,30,1.6008373651881906,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.06589695,0.12338375,0.10423416,0.13636173
37,35,1.3002513113090588,fl_static_no_densification,Federated static DNN without temporal densification,0.11347634,0.42993924,0.0846515,0.111799955
37,35,1.3002513113090588,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),0.878462,1.0142984,1.4665971,1.7008438
37,35,1.3002513113090588,adr_tcn_central,ADR TCN-only (centralized),0.051417414,0.09042031,0.08400792,0.1096697
37,35,1.3002513113090588,adr_lstm_central,ADR LSTM-only (centralized),0.05056115,0.08772404,0.083983295,0.10924799
37,35,1.3002513113090588,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.049817376,0.08508826,0.083649784,0.10518087
37,35,1.3002513113090588,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.057051204,0.118702255,0.0846515,0.11167184
37,40,1.142473721008936,fl_static_no_densification,Federated static DNN without temporal densification,0.10882929,0.42935687,0.0745818,0.09823043
37,40,1.142473721008936,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),0.8774338,1.0130992,1.467396,1.6985896
37,40,1.142473721008936,adr_tcn_central,ADR TCN-only (centralized),0.046766084,0.08760191,0.0737955,0.09666394
37,40,1.142473721008936,adr_lstm_central,ADR LSTM-only (centralized),0.045908667,0.084812574,0.07398479,0.09667298
